,AwayTeam,AwayTeamID,AwayTeamLine,AwayTeamPythagoreanExpectedWin%,AwayTeamRating,AwayTeamStartingPitcherAdjustment,AwayTeamStartingPitcherRating,AwayTeamWinProbability,Date,HomeTeam,HomeTeamID,HomeTeamLine,HomeTeamPythagoreanExpectedWin%,HomeTeamRating,HomeTeamStartingPitcherAdjustment,HomeTeamStartingPitcherRating,HomeTeamWinProbability,Over/Under,WasHomeTeamWinner,WinningTeam,WinningTeamID,WinningTeamLine
0,KC,2965,126,,1485.998,53.1147,59.909,0.4802471792,2013/04/01 4:10,CWS,2974,-137,,1511.222,17.4182,54.884,0.5197528208,7.0,1,CWS,2974,-137
1,COL,2956,136,,1469.649,13.7757,50.256,0.395512989029,2013/04/01 2:10,MIL,2976,-148,,1515.93,13.6676,53.532,0.604487010971,8.0,1,MIL,2976,-148
2,SD,2955,134,,1502.473,2.5145,48.059,0.48265469094,2013/04/01 1:10,NYM,2964,-145,,1484.506,8.9253,51.801,0.51734530906,7.5,1,NYM,2964,-145
3,SEA,2973,107,,1494.471,29.5912,57.118,0.449362479547,2013/04/01 10:05,OAK,2969,-116,,1538.529,12.5161,53.84,0.550637520453,6.5,0,SEA,2973,107
4,PHI,2958,-105,,1515.367,27.4104,57.865,0.47684540828,2013/04/01 7:10,ATL,2957,-103,,1526.99,9.9593,53.469,0.52315459172,7.0,1,ATL,2957,-103
5,BOS,2966,100,,1482.683,15.0024,51.3,0.421890900911,2013/04/01 1:05,NYY,2970,-108,,1538.102,27.2412,57.864,0.578109099089,8.0,0,BOS,2966,100
6,STL,2975,-102,,1526.323,15.6745,53.695,0.423741460285,2013/04/01 10:10,ARI,2968,-106,,1510.266,14.7486,52.854,0.576258539715,8.5,1,ARI,2968,-106
7,CHC,2982,115,,1466.33,19.5238,52.565,0.450622617684,2013/04/01 1:35,PIT,2971,-125,,1477.915,16.0552,52.386,0.549377382316,7.0,0,CHC,2982,115
8,SF,2962,136,,1542.062,21.5589,55.315,0.381674910474,2013/04/01 4:10,LAD,2967,-148,,1514.444,47.5922,61.348,0.618325089526,6.0,1,LAD,2967,-148
9,MIA,2963,227,,1476.507,-5.7058,48.435,0.39365760253,2013/04/01 1:05,WSH,2972,-249,,1526.957,12.5678,53.842,0.60634239747,7.0,1,WSH,2972,-249
10,DET,2978,-174,,1527.738,40.2649,61.869,0.515612622678,2013/04/01 4:10,MIN,2983,160,,1469.2,6.6646,48.926,0.484387377322,7.0,0,DET,2978,-174
11,LAA,2979,104,,1525.342,28.9332,56.508,0.514753641874,2013/04/01 4:10,CIN,2961,-113,,1520.071,14.4619,54.763,0.485246358126,7.5,0,LAA,2979,104
12,SEA,2973,120,1.0,1496.698,3.9339,51.948,0.400006083844,2013/04/02 10:05,OAK,2969,-130,1.0,1536.301,10.763,53.552,0.599993916156,7.0,0,SEA,2973,120
13,COL,2956,143,0.599621873258,1468.58,22.3673,52.254,0.421112942873,2013/04/02 8:10,MIL,2976,-155,0.599621873258,1516.999,5.2264,51.548,0.578887057127,8.5,0,COL,2956,143
14,STL,2975,109,0.879583109082,1523.828,-3.6002,49.495,0.464754741245,2013/04/02 9:40,ARI,2968,-118,0.879583109082,1512.76,7.9994,51.612,0.535245258755,9.0,0,STL,2975,109
15,BAL,2959,148,,1524.674,14.5935,53.505,0.368337494748,2013/04/02 3:10,TB,2960,-161,,1549.203,35.9315,61.525,0.631662505252,7.0,0,BAL,2959,148
16,TEX,2977,-174,0.924783761496,1525.391,30.4325,57.865,0.595461318458,2013/04/02 8:10,HOU,2981,160,0.924783761496,1451.257,13.4091,51.169,0.404538681542,8.0,0,TEX,2977,-174
17,SF,2962,100,1.0,1539.584,4.5872,51.87,0.53267898371,2013/04/02 10:10,LAD,2967,-108,1.0,1516.922,-19.4909,47.4,0.46732101629,7.0,0,SF,2962,100
18,CLE,2980,159,,1459.079,7.1158,48.315,0.370881484193,2013/04/02 7:07,TOR,2984,-173,,1491.038,41.1767,57.09,0.629118515807,8.5,0,CLE,2980,159
19,DET,2978,-146,0.778094505229,1529.108,5.3486,54.515,0.566555944778,2013/04/03 4:10,MIN,2983,135,0.778094505229,1467.829,-3.8963,46.721,0.433444055223,8.5,1,MIN,2983,135
20,MIA,2963,210,1.0,1475.258,-10.4763,47.473,0.343185267327,2013/04/03 7:05,WSH,2972,-230,1.0,1528.205,25.3424,56.782,0.656814732673,7.0,1,WSH,2972,-230
21,KC,2965,128,1.0,1484.707,-1.7343,48.324,0.394687098511,2013/04/03 2:10,CWS,2974,-139,1.0,1512.513,20.7505,55.804,0.605312901489,7.5,1,CWS,2974,-139
22,SD,2955,129,0.956294586903,1498.468,-3.1819,46.592,0.464671401876,2013/04/03 7:10,NYM,2964,-140,0.956294586903,1488.511,7.3649,51.539,0.535328598124,7.0,1,NYM,2964,-140
23,BAL,2959,120,0.733588194604,1527.569,-0.7003,50.288,0.441296732201,2013/04/03 7:10,TB,2960,-130,0.733588194604,1546.307,-2.4581,53.176,0.558703267799,7.0,1,TB,2960,-130
24,COL,2956,126,0.706567093106,1471.767,7.1111,48.91,0.418292407831,2013/04/03 8:10,MIL,2976,-136,0.706567093106,1513.813,-1.645,49.961,0.581707592169,8.5,0,COL,2956,126
25,CLE,2980,156,0.924783761496,1462.051,-4.6859,45.948,0.380075323632,2013/04/03 7:07,TOR,2984,-170,0.924783761496,1488.066,30.2868,54.715,0.619924676368,9.0,0,CLE,2980,156
26,BOS,2966,110,0.924783761496,1487.082,19.1572,52.287,0.389985060902,2013/04/03 7:05,NYY,2970,-119,0.924783761496,1533.702,26.2542,57.52,0.610014939098,7.5,0,BOS,2966,110
27,TEX,2977,-168,0.974592486091,1528.146,2.3876,52.323,0.597677452649,2013/04/03 2:10,HOU,2981,155,0.974592486091,1448.502,-10.7254,46.107,0.402322547351,8.5,0,TEX,2977,-168
28,SEA,2973,135,0.981602587235,1500.866,-7.0829,49.772,0.41599273705,2013/04/03 10:05,OAK,2969,-146,0.981602587235,1532.133,-3.4169,50.379,0.58400726295,7.5,1,OAK,2969,-146
29,CHC,2982,122,0.879583109082,1468.467,4.5449,49.7,0.460306116684,2013/04/03 7:05,PIT,2971,-132,0.879583109082,1475.778,0.8742,49.171,0.539693883316,6.5,1,PIT,2971,-132
30,PHI,2958,136,0.647716020099,1513.655,-1.5886,51.413,0.434778847084,2013/04/03 7:10,ATL,2957,-147,0.647716020099,1528.702,4.9444,52.252,0.565221152916,7.0,1,ATL,2957,-147
31,SF,2962,118,1.0,1541.744,-17.7989,47.4,0.478595163407,2013/04/03 10:10,LAD,2967,-128,1.0,1514.762,0.0658,51.53,0.521404836593,7.0,0,SF,2962,118
32,STL,2975,-102,0.924783761496,1527.033,-3.2571,49.646,0.458930289672,2013/04/03 9:40,ARI,2968,-106,0.924783761496,1509.555,18.8235,53.947,0.541069710328,9.0,1,ARI,2968,-106
33,LAA,2979,110,0.879583109082,1527.273,-7.9712,48.816,0.438455588265,2013/04/03 7:10,CIN,2961,-119,0.879583109082,1518.141,20.1442,56.182,0.561544411735,7.5,1,CIN,2961,-119
34,BAL,2959,102,0.636771882684,1526.329,13.9073,53.417,0.51236811488,2013/04/04 3:10,TB,2960,-110,0.636771882684,1547.548,-39.9077,45.057,0.48763188512,8.0,0,BAL,2959,102
35,DET,2978,-143,0.733588194604,1527.515,-30.4654,46.999,0.52825367416,2013/04/04 1:10,MIN,2983,132,0.733588194604,1469.423,-16.027,44.267,0.47174632584,8.5,1,MIN,2983,132
36,SEA,2973,149,0.948489381408,1498.788,-17.3195,47.4,0.393105544802,2013/04/04 3:35,OAK,2969,-162,0.948489381408,1534.212,-1.3019,50.877,0.606894455198,7.5,1,OAK,2969,-162
