,AwayTeam,AwayTeamID,AwayTeamLine,AwayTeamPythagoreanExpectedWin%,AwayTeamRating,AwayTeamStartingPitcherAdjustment,AwayTeamStartingPitcherRating,AwayTeamWinProbability,Date,HomeTeam,HomeTeamID,HomeTeamLine,HomeTeamPythagoreanExpectedWin%,HomeTeamRating,HomeTeamStartingPitcherAdjustment,HomeTeamStartingPitcherRating,HomeTeamWinProbability,Over/Under,WasHomeTeamWinner,WinningTeam,WinningTeamID,WinningTeamLine
0,STL,2975,102,,1517.667,27.213,56.381,0.428061778571,2015/04/05 8:05,CHC,2982,-110,,1485.655,41.6655,58.116,0.571938221429,7.0,0,STL,2975,102
1,TOR,2984,115,,1509.927,-0.0376,50.54,0.454257386917,2015/04/06 1:05,NYY,2970,-125,,1511.713,5.6353,52.827,0.545742613083,8.0,0,TOR,2984,115
2,COL,2956,134,,1475.952,-18.5556,44.762,0.403921089137,2015/04/06 2:10,MIL,2976,-145,,1494.587,2.6837,50.659,0.596078910863,9.0,0,COL,2956,134
3,LAA,2979,142,,1532.517,6.862,52.125,0.412787290306,2015/04/06 4:10,SEA,2973,-154,,1510.757,46.1916,60.596,0.587212709694,6.5,1,SEA,2973,-154
4,TEX,2977,144,,1484.871,-8.7561,47.672,0.390630434442,2015/04/06 10:05,OAK,2969,-156,,1522.227,11.7688,54.013,0.609369565558,7.0,1,OAK,2969,-156
5,CWS,2974,111,,1475.101,19.2371,53.665,0.498618879331,2015/04/06 4:10,KC,2965,-120,,1532.161,8.1357,52.598,0.501381120669,7.5,1,KC,2965,-120
6,BOS,2966,-104,,1500.883,1.6403,49.96,0.430871544292,2015/04/06 3:05,PHI,2958,-104,,1486.341,38.5212,57.727,0.569128455708,7.5,0,BOS,2966,-104
7,SF,2962,-134,,1528.795,48.081,60.201,0.492272813533,2015/04/06 10:10,ARI,2968,124,,1469.081,14.711,51.989,0.507727186467,7.5,0,SF,2962,-134
8,BAL,2959,115,,1540.854,8.8736,53.21,0.463678750729,2015/04/06 3:10,TB,2960,-125,,1507.785,4.0373,52.756,0.536321249271,7.0,0,BAL,2959,115
9,SD,2955,176,,1494.535,15.8437,52.791,0.391758626775,2015/04/06 4:10,LAD,2967,-192,,1526.679,58.2659,63.589,0.608241373225,6.0,1,LAD,2967,-192
10,CLE,2980,-109,,1518.836,40.2461,61.15,0.553438876608,2015/04/06 7:10,HOU,2981,101,,1479.927,18.1561,53.706,0.446561123392,7.5,1,HOU,2981,101
11,PIT,2971,109,,1524.168,11.3317,53.134,0.449612837711,2015/04/06 4:10,CIN,2961,-118,,1500.499,37.2616,59.621,0.550387162289,7.0,1,CIN,2961,-118
12,NYM,2964,154,,1503.551,-2.9798,49.254,0.426845974132,2015/04/06 4:05,WSH,2972,-167,,1535.956,14.8379,56.082,0.573154025868,7.0,0,NYM,2964,154
13,ATL,2957,136,,1496.192,11.5573,52.863,0.47099466077,2015/04/06 4:10,MIA,2963,-148,,1490.018,13.8086,51.356,0.52900533923,7.0,0,ATL,2957,136
